Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","81","Ghana","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2288","F","FAO estimate",""
"FS","Suite of Food Security Indicators","84","Greece","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2520","F","FAO estimate",""
"FS","Suite of Food Security Indicators","84","Greece","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2524","F","FAO estimate",""
"FS","Suite of Food Security Indicators","86","Grenada","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2449","F","FAO estimate",""
"FS","Suite of Food Security Indicators","86","Grenada","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2442","F","FAO estimate",""
"FS","Suite of Food Security Indicators","89","Guatemala","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2153","F","FAO estimate",""
"FS","Suite of Food Security Indicators","89","Guatemala","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2176","F","FAO estimate",""
"FS","Suite of Food Security Indicators","90","Guinea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2170","F","FAO estimate",""
"FS","Suite of Food Security Indicators","90","Guinea","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2184","F","FAO estimate",""
"FS","Suite of Food Security Indicators","175","Guinea-Bissau","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2198","F","FAO estimate",""
"FS","Suite of Food Security Indicators","175","Guinea-Bissau","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2208","F","FAO estimate",""
"FS","Suite of Food Security Indicators","91","Guyana","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2327","F","FAO estimate",""
"FS","Suite of Food Security Indicators","91","Guyana","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2331","F","FAO estimate",""
"FS","Suite of Food Security Indicators","93","Haiti","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2315","F","FAO estimate",""
"FS","Suite of Food Security Indicators","93","Haiti","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2333","F","FAO estimate",""
"FS","Suite of Food Security Indicators","95","Honduras","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2260","F","FAO estimate",""
"FS","Suite of Food Security Indicators","95","Honduras","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2285","F","FAO estimate",""
